year,previous_division,previous_division_id,current_region,current_region_id,estimate
2010,East North Central,D3,Midwest,R2,305332
2010,East North Central,D3,Northeast,R1,77871
2010,East North Central,D3,South,R3,356381
2010,East North Central,D3,West,R4,145625
2010,East South Central,D6,Midwest,R2,69877
2010,East South Central,D6,Northeast,R1,17222
2010,East South Central,D6,South,R3,271232
2010,East South Central,D6,West,R4,45387
2010,Middle Atlantic,D2,Midwest,R2,71902
2010,Middle Atlantic,D2,Northeast,R1,268201
2010,Middle Atlantic,D2,South,R3,336763
2010,Middle Atlantic,D2,West,R4,90055
2010,Mountain,D8,Midwest,R2,104113
2010,Mountain,D8,Northeast,R1,39678
2010,Mountain,D8,South,R3,177371
2010,Mountain,D8,West,R4,348792
2010,New England,D1,Midwest,R2,24985
2010,New England,D1,Northeast,R1,163944
2010,New England,D1,South,R3,111818
2010,New England,D1,West,R4,46701
2010,Pacific,D9,Midwest,R2,115049
2010,Pacific,D9,Northeast,R1,99244
2010,Pacific,D9,South,R3,300930
2010,Pacific,D9,West,R4,469022
2010,South Atlantic,D5,Midwest,R2,187526
2010,South Atlantic,D5,Northeast,R1,240247
2010,South Atlantic,D5,South,R3,890562
2010,South Atlantic,D5,West,R4,206428
2010,West North Central,D4,Midwest,R2,229954
2010,West North Central,D4,Northeast,R1,23469
2010,West North Central,D4,South,R3,150758
2010,West North Central,D4,West,R4,102138
2010,West South Central,D7,Midwest,R2,114302
2010,West South Central,D7,Northeast,R1,41708
2010,West South Central,D7,South,R3,327183
2010,West South Central,D7,West,R4,171459
2011,East North Central,D3,Midwest,R2,308953
2011,East North Central,D3,Northeast,R1,74697
2011,East North Central,D3,South,R3,364995
2011,East North Central,D3,West,R4,161515
2011,East South Central,D6,Midwest,R2,81710
2011,East South Central,D6,Northeast,R1,25266
2011,East South Central,D6,South,R3,275844
2011,East South Central,D6,West,R4,46082
2011,Middle Atlantic,D2,Midwest,R2,79957
2011,Middle Atlantic,D2,Northeast,R1,273133
2011,Middle Atlantic,D2,South,R3,358619
2011,Middle Atlantic,D2,West,R4,97587
2011,Mountain,D8,Midwest,R2,122582
2011,Mountain,D8,Northeast,R1,40241
2011,Mountain,D8,South,R3,191236
2011,Mountain,D8,West,R4,389991
2011,New England,D1,Midwest,R2,32518
2011,New England,D1,Northeast,R1,167490
2011,New England,D1,South,R3,120885
2011,New England,D1,West,R4,42514
2011,Pacific,D9,Midwest,R2,125701
2011,Pacific,D9,Northeast,R1,93600
2011,Pacific,D9,South,R3,304849
2011,Pacific,D9,West,R4,489422
2011,South Atlantic,D5,Midwest,R2,196424
2011,South Atlantic,D5,Northeast,R1,249911
2011,South Atlantic,D5,South,R3,894327
2011,South Atlantic,D5,West,R4,208592
2011,West North Central,D4,Midwest,R2,232512
2011,West North Central,D4,Northeast,R1,23352
2011,West North Central,D4,South,R3,156974
2011,West North Central,D4,West,R4,106270
2011,West South Central,D7,Midwest,R2,120695
2011,West South Central,D7,Northeast,R1,38386
2011,West South Central,D7,South,R3,327859
2011,West South Central,D7,West,R4,162727
2012,East North Central,D3,Midwest,R2,309676
2012,East North Central,D3,Northeast,R1,65945
2012,East North Central,D3,South,R3,361423
2012,East North Central,D3,West,R4,158165
2012,East South Central,D6,Midwest,R2,83249
2012,East South Central,D6,Northeast,R1,18858
2012,East South Central,D6,South,R3,285786
2012,East South Central,D6,West,R4,55111
2012,Middle Atlantic,D2,Midwest,R2,79450
2012,Middle Atlantic,D2,Northeast,R1,283579
2012,Middle Atlantic,D2,South,R3,382859
2012,Middle Atlantic,D2,West,R4,116334
2012,Mountain,D8,Midwest,R2,115126
2012,Mountain,D8,Northeast,R1,40032
2012,Mountain,D8,South,R3,202279
2012,Mountain,D8,West,R4,377154
2012,New England,D1,Midwest,R2,26292
2012,New England,D1,Northeast,R1,179146
2012,New England,D1,South,R3,110641
2012,New England,D1,West,R4,56924
2012,Pacific,D9,Midwest,R2,126127
2012,Pacific,D9,Northeast,R1,84814
2012,Pacific,D9,South,R3,295325
2012,Pacific,D9,West,R4,494941
2012,South Atlantic,D5,Midwest,R2,210398
